City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,18.94,67,0,4.47,US,1699923258
1,novotroitsk,51.203,58.3266,4.39,69,100,5.17,RU,1699923480
2,grytviken,-54.2811,-36.5092,2.29,98,100,3.44,GS,1699923481
3,alice springs,-23.7,133.8833,32.75,15,4,3.6,AU,1699923446
4,atafu village,-8.5421,-172.5159,28.29,81,100,5.58,TK,1699923481
5,blackmans bay,-43.0167,147.3167,17.51,46,23,1.34,AU,1699923233
6,utrik,11.2278,169.8474,28.16,81,100,7.99,MH,1699923481
7,bengkulu,-3.8004,102.2655,25.79,87,92,0.8,ID,1699923426
8,port-aux-francais,-49.35,70.2167,6.69,97,100,16.34,TF,1699923481
9,qaqortoq,60.7167,-46.0333,-5.14,93,100,1.62,GL,1699923389
10,iqaluit,63.7506,-68.5145,-17.95,64,0,2.57,CA,1699923352
11,saskatoon,52.1168,-106.6345,2.99,69,75,4.63,CA,1699923182
12,ilulissat,69.2167,-51.1,-3.99,63,75,7.2,GL,1699923392
13,badger,64.8,-147.5333,-2.79,95,100,2.57,US,1699923370
14,hamilton,39.1834,-84.5333,11.51,50,0,2.06,US,1699923458
15,kudahuvadhoo,2.6708,72.8944,27.38,74,97,1.78,MV,1699923481
16,edinburgh of the seven seas,-37.0676,-12.3116,13.62,77,8,11.32,SH,1699923481
17,yaren,-0.5472,166.916,27.98,79,100,11.88,NR,1699923412
18,olonkinbyen,70.9221,-8.7187,-1.67,70,99,2.65,SJ,1699923482
19,nuku'alofa,-21.1333,-175.2,22.19,100,100,8.23,TO,1699923401
20,enewetak,11.3474,162.3373,28.4,80,70,8.88,MH,1699923396
21,dawei,14.0833,98.2,27.23,79,100,3.54,MM,1699923482
22,port elizabeth,-33.918,25.5701,17.16,86,100,5.14,ZA,1699923483
23,lebu,-37.6167,-73.65,10.1,87,53,3.15,CL,1699923300
24,vernon,50.2581,-119.2691,9.2,49,4,1.54,CA,1699923447
25,san rafael del yuma,18.4299,-68.6739,26.11,87,0,3.27,DO,1699923483
26,kourou,5.1552,-52.6478,26.03,87,11,3.75,GF,1699923483
27,margaret river,-33.95,115.0667,17.11,75,100,5.28,AU,1699923483
28,ribeira grande,38.5167,-28.7,15.99,90,100,1.34,PT,1699923483
29,college,64.8569,-147.8028,-2.74,94,100,2.57,US,1699923484
30,yellowknife,62.456,-114.3525,-6.71,86,100,2.06,CA,1699923240
31,susuman,62.7833,148.1667,-30.13,98,77,0.44,RU,1699923484
32,port saint john's,-31.6229,29.5448,16.71,77,100,2.82,ZA,1699923484
33,bethel,41.3712,-73.414,5.83,75,75,1.54,US,1699923233
34,pangai,-19.8,-174.35,28.06,83,75,4.12,TO,1699923484
35,georgetown,5.4112,100.3354,28.3,89,20,2.06,MY,1699923361
36,waitangi,-43.9535,-176.5597,13.21,88,1,9.08,NZ,1699923354
37,walvis bay,-22.9575,14.5053,16.53,82,34,3.09,NA,1699923485
38,port douglas,-16.4833,145.4667,25.98,61,58,4.44,AU,1699923485
39,antsohihy,-14.8796,47.9875,25.21,83,91,0.52,MG,1699923485
40,farasan,16.7022,42.1183,29.16,74,24,6.07,SA,1699923485
41,sisimiut,66.9395,-53.6735,-8.79,78,100,3.51,GL,1699923485
42,puerto maldonado,-12.6,-69.1833,28.76,61,92,0.69,PE,1699923485
43,bikenibeu village,1.3673,173.1241,30.98,79,75,4.12,KI,1699923485
44,invercargill,-46.4,168.35,14.99,55,74,4.96,NZ,1699923485
45,udachny,66.4167,112.4,-5.86,85,100,3.85,RU,1699923485
46,albany,42.6001,-73.9662,2.41,76,93,0.72,US,1699923476
47,tura,25.5198,90.2201,18.81,84,6,1.44,IN,1699923416
48,aasiaat,68.7098,-52.8699,-10.17,83,100,1.56,GL,1699923486
49,mananara,-16.1667,49.7667,21.96,93,93,0.72,MG,1699923486
50,hawaiian paradise park,19.5933,-154.9731,27.73,69,40,3.6,US,1699923486
51,puerto ayora,-0.7393,-90.3518,23.64,97,100,1.34,EC,1699923229
52,tonekabon,36.8163,50.8738,14.97,61,3,1.92,IR,1699923486
53,preobrazheniye,42.9019,133.9064,0.9,48,0,3.66,RU,1699923487
54,katsuura,35.1333,140.3,13.9,42,0,0.47,JP,1699923271
55,touros,-5.1989,-35.4608,26.68,79,94,5.27,BR,1699923487
56,kapa'a,22.0752,-159.319,28.99,84,100,6.17,US,1699923487
57,hithadhoo,-0.6,73.0833,27.05,81,70,3.87,MV,1699923487
58,mersing,2.4312,103.8405,24.95,94,40,2.57,MY,1699923487
59,sabang,5.8933,95.3214,26.51,84,100,4.78,ID,1699923487
60,akjoujt,19.6969,-14.4164,26.51,18,40,2.99,MR,1699923488
61,papatowai,-46.5619,169.4708,17.58,47,53,5.14,NZ,1699923488
62,weno,7.4515,151.8468,28.4,74,100,2.6,FM,1699923342
63,nemuro,43.3236,145.575,4.75,58,14,8.24,JP,1699923488
64,nikol'sk,53.7189,46.0712,5.08,78,100,6.11,RU,1699923488
65,vila franca do campo,37.7167,-25.4333,17.23,99,67,1.85,PT,1699923380
66,shendi,16.6915,33.4341,30.55,27,100,3.86,SD,1699923488
67,brookings,44.3114,-96.7984,11.21,45,23,8.07,US,1699923313
68,east london,-33.0153,27.9116,15.94,73,99,2.85,ZA,1699923489
69,puerto deseado,-47.7503,-65.8938,9.13,52,100,10.86,AR,1699923284
70,san antonio de pale,-1.4014,5.6325,26.17,81,31,3.48,GQ,1699923489
71,calderitas,18.55,-88.25,25.61,88,100,1.93,MX,1699923489
72,thief river falls,48.1191,-96.1812,5.53,65,0,4.63,US,1699923489
73,geraldton,-28.7667,114.6,23.23,73,100,4.12,AU,1699923282
74,bilibino,68.0546,166.4372,-27.84,100,100,1.88,RU,1699923227
75,fortuna,40.5982,-124.1573,14.81,91,0,0.0,US,1699923490
76,buchen,49.5239,9.3231,10.79,85,100,7.75,DE,1699923490
77,macapa,0.0389,-51.0664,29.99,74,20,5.14,BR,1699923490
78,hammerfest,70.6634,23.6821,-0.75,86,100,1.54,NO,1699923490
79,san diego country estates,33.0067,-116.7836,19.94,34,100,0.35,US,1699923490
80,adamstown,-25.066,-130.1015,22.85,85,100,7.76,PN,1699923353
81,saipan,15.1355,145.701,31.39,70,20,7.72,MP,1699923226
82,marina di schiavonea,39.65,16.5333,16.07,85,27,3.88,IT,1699923491
83,darhan,49.4867,105.9228,-9.23,82,100,1.55,MN,1699923491
84,sinabang,2.4803,96.3801,24.14,93,100,1.31,ID,1699923491
85,ust'-kulom,61.6864,53.6902,2.19,99,100,3.91,RU,1699923491
86,dudinka,69.4058,86.1778,-21.4,90,8,3.5,RU,1699923238
87,tomatlan,19.9333,-105.25,25.18,83,11,0.57,MX,1699923392
88,djibo,14.1022,-1.6306,26.15,13,0,3.5,BF,1699923491
89,abilene,32.4487,-99.7331,12.12,75,100,2.57,US,1699923154
90,kruisfontein,-34.0033,24.7314,12.12,89,60,2.6,ZA,1699923492
91,peresvet,56.423,38.1761,2.99,92,100,5.31,RU,1699923492
92,fale old settlement,-9.3852,-171.2468,26.49,89,100,6.38,TK,1699923403
93,kayangel,8.0823,134.7173,28.75,78,63,6.87,PW,1699923492
94,puan,35.7281,126.7319,5.94,67,97,1.94,KR,1699923492
95,hermanus,-34.4187,19.2345,15.64,77,11,9.8,ZA,1699923356
96,iskateley,67.6803,53.1512,-11.1,88,100,4.02,RU,1699923492
97,san luis de la loma,17.2706,-100.8939,27.11,81,23,2.65,MX,1699923493
98,guerrero negro,27.9769,-114.0611,20.89,54,100,4.59,MX,1699923354
99,jieshou,33.2634,115.3611,6.03,45,0,2.49,CN,1699923493
100,coahuayana de hidalgo,18.7,-103.6583,26.63,81,7,0.71,MX,1699923493
101,aguadilla,18.4275,-67.1541,27.03,89,0,4.12,PR,1699923493
102,lodja,-3.4833,23.4333,21.06,100,100,1.01,CD,1699923493
103,kailua-kona,19.6406,-155.9956,30.28,74,40,5.14,US,1699923419
104,isafjordur,66.0755,-23.124,1.61,86,57,2.89,IS,1699923352
105,itaituba,-4.2761,-55.9836,30.09,66,100,0.0,BR,1699923494
106,chos malal,-37.3781,-70.2709,12.64,30,0,4.13,AR,1699923494
107,eirunepe,-6.6603,-69.8736,25.54,86,88,0.16,BR,1699923494
108,puerto natales,-51.7236,-72.4875,1.06,85,87,3.51,CL,1699923494
109,avarua,-21.2078,-159.775,24.03,60,75,4.63,CK,1699923494
110,palpa,-14.5336,-75.1856,22.28,69,10,0.99,PE,1699923494
111,la passe,45.5549,-0.8967,16.13,95,100,6.01,FR,1699923494
112,santana,-0.0583,-51.1817,30.1,74,20,5.14,BR,1699923494
113,bredasdorp,-34.5322,20.0403,14.81,81,9,7.13,ZA,1699923364
114,kapuskasing,49.4169,-82.4331,1.05,93,100,4.12,CA,1699923362
115,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699923278
116,tsiombe,-25.3,45.4833,21.73,83,98,2.4,MG,1699923495
117,la'ie,21.6477,-157.9253,28.98,72,78,4.02,US,1699923333
118,constantia,44.1833,28.65,2.38,50,31,4.18,RO,1699923245
119,nuuk,64.1835,-51.7216,-3.66,86,100,6.17,GL,1699923354
120,mugia,43.1041,-9.2179,18.84,96,100,12.53,ES,1699923450
121,acapulco de juarez,16.8634,-99.8901,29.9,66,0,4.63,MX,1699923278
122,longyearbyen,78.2186,15.6401,-10.09,85,75,4.63,SJ,1699923369
123,jamestown,42.097,-79.2353,8.77,75,0,4.12,US,1699923320
124,dalby,-27.1833,151.2667,31.51,32,0,6.52,AU,1699923408
125,shingu,33.7333,135.9833,13.69,54,0,2.16,JP,1699923496
126,al kharijah,25.4514,30.5464,22.56,49,1,4.91,EG,1699923496
127,talcahuano,-36.7167,-73.1167,11.82,76,0,4.63,CL,1699923496
128,marka,1.7159,44.7717,27.03,79,100,3.09,SO,1699923496
129,stanley,54.868,-1.6985,8.77,90,20,6.17,GB,1699923247
130,okhotsk,59.3833,143.3,-15.34,78,100,7.13,RU,1699923497
131,egersund,58.4513,5.9997,5.05,66,100,11.6,NO,1699923498
132,maragogi,-9.0122,-35.2225,25.28,85,100,3.15,BR,1699923498
133,inari,68.906,27.0288,-17.89,98,40,1.25,FI,1699923498
134,vila velha,-20.3297,-40.2925,26.97,84,0,5.36,BR,1699923398
135,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699923498
